amplitude,omega,peak_speed,success_rate,touchdown_rate,n_success,vz_mean,lat_mean,tilt_deg_mean,offset_mean,viol_vz,viol_lat,viol_tilt
0.5,0.0,0.0,100.0,100.0,50,0.12205726694106414,0.021373861430888243,0.4971284339614728,0.17699267793276502,0.0,0.0,0.0
0.5,0.25,0.125,100.0,100.0,50,0.10836863812004902,0.017840888231995835,0.4199650862330594,0.032805845944661044,0.0,0.0,0.0
0.5,0.5,0.25,100.0,100.0,50,0.09062605041345514,0.0761932360825972,0.5204344982010243,0.0389608894742233,0.0,0.0,0.0
0.5,0.75,0.375,26.0,100.0,13,0.07777835013390082,0.17276371419083925,0.40619171813175725,0.19659890600424257,0.0,0.0,0.0
0.5,1.0,0.5,0.0,100.0,0,nan,nan,nan,nan,nan,nan,nan
0.5,1.25,0.625,0.0,100.0,0,nan,nan,nan,nan,nan,nan,nan
0.5,1.5,0.75,0.0,100.0,0,nan,nan,nan,nan,nan,nan,nan
0.5,1.75,0.875,0.0,100.0,0,nan,nan,nan,nan,nan,nan,nan
0.5,2.0,1.0,0.0,100.0,0,nan,nan,nan,nan,nan,nan,nan
