timestep,level,spawn_radius_min,spawn_radius_max,platform_speed_range,successes,episodes,success_rate,mean_success_distance_cm,mean_return,near_miss,timeout,below_platform,tilt_bound,position_bound,terminated_no_reason
5000,1,0.11,0.14,0.0,0,20,0.0,,-30.895929,20,0,20,0,0,0
10000,1,0.11,0.14,0.0,0,20,0.0,,-117.583258,0,20,0,0,0,0
15000,1,0.11,0.14,0.0,0,20,0.0,,-41.089653,0,20,0,0,0,0
20000,1,0.11,0.14,0.0,0,20,0.0,,-27.948578,0,20,0,0,0,0
25000,1,0.11,0.14,0.0,0,20,0.0,,-7.206394,0,20,0,0,0,0
30000,1,0.11,0.14,0.0,0,20,0.0,,-9.159123,0,20,0,0,0,0
35000,1,0.11,0.14,0.0,0,20,0.0,,-9.374408,0,20,0,0,0,0
40000,1,0.11,0.14,0.0,0,20,0.0,,-16.386795,0,20,0,0,0,0
45000,1,0.11,0.14,0.0,2,20,10.0,9.9969,-7.682391,16,9,8,1,0,0
50000,1,0.11,0.14,0.0,0,20,0.0,,-11.4903,0,20,0,0,0,0
55000,1,0.11,0.14,0.0,3,20,15.0,6.3847,-6.580474,13,13,4,0,0,0
60000,1,0.11,0.14,0.0,0,20,0.0,,-14.408832,0,20,0,0,0,0
65000,1,0.11,0.14,0.0,0,20,0.0,,-12.361882,0,20,0,0,0,0
70000,1,0.11,0.14,0.0,0,20,0.0,,-8.927838,0,20,0,0,0,0
75000,1,0.11,0.14,0.0,0,20,0.0,,-9.055408,1,19,1,0,0,0
80000,1,0.11,0.14,0.0,0,20,0.0,,-10.663265,1,19,1,0,0,0
85000,1,0.11,0.14,0.0,0,20,0.0,,-8.588821,0,20,0,0,0,0
90000,1,0.11,0.14,0.0,0,20,0.0,,-7.740542,0,20,0,0,0,0
95000,1,0.11,0.14,0.0,0,20,0.0,,-8.308924,1,19,1,0,0,0
100000,1,0.11,0.14,0.0,0,20,0.0,,-7.827063,0,20,0,0,0,0
105000,1,0.11,0.14,0.0,0,20,0.0,,-7.096538,0,20,0,0,0,0
110000,1,0.11,0.14,0.0,0,20,0.0,,-10.135671,10,13,5,2,0,0
115000,1,0.11,0.14,0.0,0,20,0.0,,-7.703002,0,20,0,0,0,0
120000,1,0.11,0.14,0.0,0,20,0.0,,-7.807092,0,20,0,0,0,0
