timestep,level,platform_speed_range,success_rate,blind_fraction,longest_blind_run,steps_before_first_detection,pos_err_m,vel_err_ms
25000,1,0.0,0.0,0.6798,104.9,0.0,0.00962,0.16356
50000,1,0.0,0.0,0.7874,215.4,0.0,0.01128,0.18541
75000,1,0.0,0.0,0.7801,203.0,0.0,0.01195,0.20963
100000,1,0.0,0.0,0.7427,146.8,0.0,0.01017,0.19406
125000,1,0.0,0.0,0.7093,162.2,0.0,0.01186,0.2487
150000,1,0.0,0.0,0.4974,61.0,0.0,0.01334,0.19745
175000,1,0.0,0.0,0.4901,82.8,0.0,0.0093,0.18095
200000,1,0.0,0.0,0.1427,40.7,0.0,0.01837,0.26797
225000,1,0.0,0.0,0.7648,213.5,0.0,0.01171,0.2019
250000,2,0.0,0.0,0.7522,165.5,0.0,0.01114,0.16477
275000,2,0.0,80.0,0.5629,80.0,0.0,0.01081,0.17038
300000,2,0.0,90.0,0.5761,75.3,0.0,0.01162,0.22451
325000,3,0.0,90.0,0.5908,91.8,0.0,0.01213,0.25386
350000,3,0.0,50.0,0.6799,155.6,0.0,0.01158,0.20338
375000,3,0.0,60.0,0.6065,93.4,0.0,0.01146,0.21098
400000,4,0.0,50.0,0.6435,135.0,0.0,0.01159,0.16947
425000,4,0.0,60.0,0.5799,122.6,0.0,0.01157,0.19425
450000,4,0.0,0.0,0.7199,149.7,0.0,0.01324,0.20359
475000,4,0.0,50.0,0.6715,150.1,0.0,0.01184,0.19408
500000,4,0.0,60.0,0.6552,145.4,0.0,0.01127,0.19504
525000,4,0.0,80.0,0.4983,84.7,0.0,0.01121,0.21718
550000,5,0.0,40.0,0.6454,165.8,0.0,0.01242,0.24653
575000,5,0.0,80.0,0.4919,92.5,0.0,0.01182,0.21394
600000,5,0.0,20.0,0.748,212.3,0.0,0.01278,0.24147
