timesteps,successes,episodes,success_rate,mean_success_distance_cm,mean_return
5000,0,20,0.0,,-11.070668
10000,0,20,0.0,,-13.659401
15000,0,20,0.0,,-10.794206
20000,0,20,0.0,,-6.46522
25000,0,20,0.0,,-11.783548
30000,0,20,0.0,,-11.829353
35000,0,20,0.0,,-10.429923
40000,0,20,0.0,,-11.109039
45000,16,20,80.0,7.7484,12.796099
50000,0,20,0.0,,-10.945707
55000,0,20,0.0,,-10.099244
60000,1,20,5.0,7.1002,-7.070057
65000,1,20,5.0,9.0207,-5.303602
70000,0,20,0.0,,-7.100484
75000,0,20,0.0,,-6.699204
80000,0,20,0.0,,-8.402034
85000,8,20,40.0,7.9699,3.460056
90000,8,20,40.0,8.202,3.622451
95000,14,20,70.0,7.0383,11.172057
100000,13,20,65.0,7.2289,8.176251
105000,6,20,30.0,8.7861,0.910933
110000,4,20,20.0,10.021,-1.762136
115000,2,20,10.0,8.6838,-4.908912
120000,1,20,5.0,6.6859,-6.383201
125000,12,20,60.0,8.4101,8.680579
130000,0,20,0.0,,-7.310192
135000,0,20,0.0,,-10.850293
140000,15,20,75.0,6.8036,12.067066
145000,1,20,5.0,10.0796,-5.45267
150000,0,20,0.0,,-7.143928
155000,0,20,0.0,,-10.626241
160000,0,20,0.0,,-10.969752
165000,0,20,0.0,,-11.143599
170000,20,20,100.0,3.2175,16.854795
175000,15,20,75.0,7.9329,10.442516
180000,20,20,100.0,8.0031,18.509622
185000,20,20,100.0,6.373,18.032517
190000,20,20,100.0,3.5503,18.853604
195000,20,20,100.0,6.512,18.62704
200000,20,20,100.0,5.758,17.878598
205000,20,20,100.0,5.3484,18.102315
210000,20,20,100.0,6.847,17.85153
215000,20,20,100.0,6.5172,18.42502
220000,20,20,100.0,5.8352,17.833473
225000,20,20,100.0,3.5121,16.884533
230000,20,20,100.0,4.771,18.434002
235000,20,20,100.0,4.9282,18.142411
240000,20,20,100.0,4.4719,18.899891
245000,20,20,100.0,3.9531,19.178447
250000,20,20,100.0,3.3768,18.832232
255000,20,20,100.0,2.3168,18.730881
260000,20,20,100.0,3.8018,18.852001
265000,20,20,100.0,2.8067,18.530927
270000,20,20,100.0,2.886,19.664567
275000,20,20,100.0,2.4289,19.508382
280000,20,20,100.0,3.3099,19.342595
285000,20,20,100.0,2.5741,19.212549
290000,20,20,100.0,2.7605,19.317048
295000,20,20,100.0,2.1358,19.47437
300000,20,20,100.0,3.2039,18.94283
