timesteps,successes,episodes,success_rate,mean_success_distance_cm,mean_return
5000,0,20,0.0,,-71.206941
10000,0,20,0.0,,-11.772579
15000,0,20,0.0,,-11.0118
20000,0,20,0.0,,-14.717672
25000,0,20,0.0,,-7.682312
30000,0,20,0.0,,-8.451359
35000,0,20,0.0,,-8.833142
40000,0,20,0.0,,-5.952888
45000,0,20,0.0,,-8.387104
50000,0,20,0.0,,-8.326676
55000,0,20,0.0,,-7.909218
60000,0,20,0.0,,-6.667613
65000,0,20,0.0,,-5.817146
70000,1,20,5.0,6.5759,-5.4914
75000,0,20,0.0,,-10.398503
80000,0,20,0.0,,-11.095788
85000,2,20,10.0,7.6868,-6.084864
90000,0,20,0.0,,-7.973979
95000,10,20,50.0,6.3687,6.445071
100000,8,20,40.0,6.8287,3.65009
105000,0,20,0.0,,-9.563189
110000,13,20,65.0,7.9303,10.25817
115000,0,20,0.0,,-11.215037
120000,0,20,0.0,,-11.344952
125000,0,20,0.0,,-14.496479
130000,6,20,30.0,9.045,0.441799
135000,9,20,45.0,7.1252,1.183788
140000,0,20,0.0,,-11.076234
145000,0,20,0.0,,-9.23475
150000,2,20,10.0,8.5675,-4.82814
155000,13,20,65.0,7.6015,9.826964
160000,10,20,50.0,7.6356,6.03173
165000,0,20,0.0,,-11.082905
170000,0,20,0.0,,-7.699103
175000,0,20,0.0,,-8.312476
180000,20,20,100.0,6.7643,17.914162
185000,20,20,100.0,4.6923,18.388467
190000,20,20,100.0,3.1804,18.81424
195000,20,20,100.0,3.4811,18.28006
200000,20,20,100.0,6.3097,15.950052
205000,20,20,100.0,6.9619,16.133527
210000,20,20,100.0,5.4341,17.851415
215000,20,20,100.0,3.2201,18.19098
220000,20,20,100.0,5.0019,17.237321
225000,20,20,100.0,5.4371,17.759538
230000,19,20,95.0,8.4596,16.366739
235000,20,20,100.0,8.3224,18.495671
240000,20,20,100.0,6.004,17.468444
245000,20,20,100.0,4.3678,17.207555
250000,20,20,100.0,3.0174,16.968626
255000,20,20,100.0,2.9677,17.924112
260000,20,20,100.0,2.7102,18.068867
265000,20,20,100.0,5.1262,19.085032
270000,20,20,100.0,2.8188,19.201152
275000,20,20,100.0,3.8562,18.86289
280000,20,20,100.0,2.3569,19.281703
285000,20,20,100.0,3.5155,19.016212
290000,20,20,100.0,4.2206,18.039993
295000,20,20,100.0,5.3395,19.316134
300000,20,20,100.0,3.9716,19.341458
