timesteps,successes,episodes,success_rate,mean_success_distance_cm,mean_return
5000,0,20,0.0,,-11.070668
10000,0,20,0.0,,-13.659401
15000,0,20,0.0,,-10.794206
20000,0,20,0.0,,-6.46522
25000,0,20,0.0,,-11.783548
30000,0,20,0.0,,-11.829353
35000,0,20,0.0,,-10.429923
40000,0,20,0.0,,-11.109039
45000,16,20,80.0,7.7484,12.796099
50000,0,20,0.0,,-10.945707
55000,0,20,0.0,,-10.099244
60000,1,20,5.0,7.1002,-7.070057
65000,1,20,5.0,9.0207,-5.303602
70000,0,20,0.0,,-7.100484
75000,0,20,0.0,,-6.699204
80000,0,20,0.0,,-8.402034
85000,8,20,40.0,7.9699,3.460056
90000,8,20,40.0,8.202,3.622451
95000,14,20,70.0,7.0383,11.172057
100000,13,20,65.0,7.2289,8.176251
105000,6,20,30.0,8.7861,0.910933
110000,4,20,20.0,10.021,-1.762136
115000,2,20,10.0,8.6838,-4.908912
120000,1,20,5.0,6.6859,-6.383201
125000,12,20,60.0,8.4101,8.680579
130000,0,20,0.0,,-7.310192
135000,0,20,0.0,,-10.850293
140000,15,20,75.0,6.8036,12.067066
145000,1,20,5.0,10.0796,-5.45267
150000,0,20,0.0,,-7.143928
155000,0,20,0.0,,-10.626241
160000,0,20,0.0,,-10.969752
165000,0,20,0.0,,-11.143599
170000,20,20,100.0,3.2175,16.854795
175000,15,20,75.0,7.9329,10.442516
180000,20,20,100.0,8.0031,18.509622
185000,20,20,100.0,6.373,18.032517
190000,20,20,100.0,3.5503,18.853604
195000,20,20,100.0,6.512,18.62704
200000,20,20,100.0,5.758,17.878598
205000,20,20,100.0,5.3484,18.102315
210000,20,20,100.0,6.447,18.343346
215000,20,20,100.0,6.8498,18.183433
220000,18,20,90.0,7.4824,15.299614
225000,13,20,65.0,7.3711,9.190957
230000,16,20,80.0,7.0689,13.581285
235000,17,20,85.0,6.4007,15.323195
240000,15,20,75.0,6.423,12.677393
245000,17,20,85.0,4.8976,15.329289
250000,17,20,85.0,6.0416,15.301576
255000,18,20,90.0,4.8618,16.512502
260000,19,20,95.0,5.4335,16.909865
265000,19,20,95.0,6.227,15.862683
270000,17,20,85.0,4.9104,14.517345
275000,20,20,100.0,4.8892,17.914267
280000,20,20,100.0,4.5896,18.497876
285000,20,20,100.0,5.3252,18.34068
290000,18,20,90.0,5.2879,15.911027
295000,20,20,100.0,6.0435,18.918504
300000,20,20,100.0,5.1685,19.1787
305000,18,20,90.0,5.1058,16.312557
310000,20,20,100.0,5.9491,19.006324
315000,18,20,90.0,5.8233,15.903607
320000,19,20,95.0,6.3179,15.491307
325000,18,20,90.0,5.2906,15.430388
330000,19,20,95.0,4.6017,16.27799
335000,19,20,95.0,6.5099,17.319421
340000,20,20,100.0,4.9148,17.644647
345000,18,20,90.0,4.9684,13.955505
350000,18,20,90.0,4.2176,15.562861
355000,19,20,95.0,6.7702,11.023386
360000,19,20,95.0,6.3609,16.8123
365000,20,20,100.0,7.2527,16.863468
370000,20,20,100.0,5.2894,17.858932
375000,17,20,85.0,5.0941,11.809448
380000,19,20,95.0,4.7153,16.055456
385000,17,20,85.0,5.2371,13.541779
390000,19,20,95.0,4.9045,16.412606
395000,16,20,80.0,5.6078,12.040315
400000,11,20,55.0,5.448,5.504672
405000,18,20,90.0,5.4849,14.703136
410000,20,20,100.0,5.2111,17.610538
415000,20,20,100.0,5.4613,17.585565
420000,20,20,100.0,5.4111,17.251611
425000,20,20,100.0,5.122,17.981722
430000,20,20,100.0,5.2561,17.083511
435000,20,20,100.0,4.797,18.322158
440000,20,20,100.0,5.0055,18.70395
445000,20,20,100.0,5.3608,18.935545
450000,20,20,100.0,5.3089,18.997589
455000,20,20,100.0,5.2143,18.858669
460000,20,20,100.0,4.8561,18.548706
465000,19,20,95.0,4.863,17.610943
470000,20,20,100.0,4.4861,19.153939
475000,20,20,100.0,4.228,18.730546
480000,20,20,100.0,4.725,18.462667
485000,19,20,95.0,5.4579,16.109517
490000,20,20,100.0,4.6227,18.19622
495000,20,20,100.0,3.8541,19.036541
500000,20,20,100.0,4.8007,18.484484
505000,20,20,100.0,4.8794,18.676042
510000,20,20,100.0,4.4397,18.539466
515000,20,20,100.0,4.5892,18.456351
520000,20,20,100.0,4.755,17.995823
525000,18,20,90.0,4.1494,16.767127
530000,20,20,100.0,4.3921,18.739062
535000,20,20,100.0,4.4765,18.41246
540000,20,20,100.0,4.058,19.371007
545000,19,20,95.0,3.8128,17.210684
550000,20,20,100.0,4.1182,18.682518
555000,20,20,100.0,3.9808,19.02562
560000,20,20,100.0,4.3169,18.604813
565000,20,20,100.0,3.5396,18.979727
570000,20,20,100.0,3.4655,18.864107
575000,20,20,100.0,3.5083,18.816877
580000,20,20,100.0,4.3358,18.402571
585000,20,20,100.0,3.9012,18.706377
590000,20,20,100.0,3.333,18.805624
595000,20,20,100.0,3.256,18.080321
600000,20,20,100.0,3.9815,18.568536
