episode,height_above_pad,horizontal_error,dx,dy,dz,dvx,dvy,dvz,pos_norm,vel_norm
0,0.49786605920153093,0.20928457669229814,0.008189339440340004,0.0012299977849851984,-0.018192115242011697,-0.4352370976118639,-0.296442716072667,-0.23853331558163238,0.019988277364465682,0.578107046914761
0,0.49311706683375645,0.2162993709208515,0.008821857426967866,0.0016479671955489106,-0.008510916868656349,0.01480946109831209,0.008550510036003323,0.2680543225480915,0.012368373793047031,0.26859923900974564
0,0.48839078374909317,0.2224751694153024,0.007837856158808582,0.0014043267986604546,-0.015495217718050291,-0.04314781434002721,-0.020338180489996638,-0.19195691614472513,0.017421420580807673,0.19779492694141113
0,0.4850257789444441,0.22706276896168884,0.00589523515326254,0.004461724885018364,-0.012419551642094684,-0.07492106281968389,0.0754601561775589,0.11027625278771154,0.014453582581924501,0.15319351407051102
0,0.48119335453954215,0.23019245795181226,0.006957269793129911,0.0011432788139900674,-0.014412818844078079,0.021129722036316162,-0.11096378627311486,-0.08462290298248112,0.01604493803207506,0.1411398693728314
0,0.47577405161936037,0.23212411097551125,0.0063548564692335885,0.0027390818732123956,-0.006555024177343993,-0.027603492916111402,0.03469753565198208,0.2180270182580844,0.00953179480571655,0.2224896682814765
0,0.47047246824585,0.23268078955774418,0.0049459609729846366,0.001583339458975791,-0.0117020235868871,-0.055117822575487474,-0.048755842789376974,-0.13777944327806466,0.012802611054652052,0.1561994928339359
0,0.4658554179942521,0.2320091058485423,0.005127905661322457,0.0030784109366343015,-0.011555432532386889,-0.00452280885996284,0.03801765087578274,0.00761202136720962,0.013011535319736785,0.03903511812959605
0,0.4611234916973579,0.23061386483096497,0.007255601791946065,0.0022691054578919123,-0.011911674227387536,0.05887793442282899,-0.028505090974131342,-0.015795537691124545,0.014130837903030885,0.0672952478581823
0,0.4557399332106571,0.2287605976315685,0.00782354904845406,0.0027376923626517558,-0.012022238761910553,0.013291135828806366,0.009388867651023591,-0.014549223054542676,0.01460264031038472,0.021828536801147568
0,0.45136052535325055,0.22636898150235915,0.0061621571229041605,0.002638656869521583,-0.011192517518644807,-0.05729944352773228,-0.005817828514976114,0.057050895746521696,0.013046345805918331,0.0810671207253467
0,0.4470060168471659,0.22363820729788134,0.0058613824920502045,0.0020973557174379376,-0.006918461239535989,-0.012100287689112088,-0.01418004188861835,0.10382655005991007,0.0093069765040288,0.10548669606858137
0,0.44187546153559176,0.22099600026821142,0.006998729554002853,0.002114945595128953,-0.009168555280627488,0.03530651147848385,0.004284755343266333,-0.06663692380187478,0.011726790531699222,0.07553402210202252
0,0.4362709393764518,0.21861486894971052,0.004049855930696816,0.0012532316078595063,-0.019401102542580706,-0.0863276988662354,-0.024731179036831974,-0.3186892267163267,0.019858869615113288,0.33109957117631783
0,0.43153924137114086,0.21633040146005086,0.025718931151110708,0.02209745524386275,-0.012615094184815878,0.6506817210450788,0.6239180465679184,0.2330372999941862,0.036178744437885976,0.9311105273402794
0,0.4269695352415963,0.21407441859930912,0.009756561485407267,0.004204796234904051,-0.0061731553282472484,-0.47639710119937473,-0.536487810669894,0.17412466634909485,0.01228733698171671,0.7383039810672343
0,0.422171459265933,0.2121171731412378,0.006637760187584885,0.0005740267086615514,-0.009567273853674896,-0.08641733573347032,-0.10742701058044543,-0.0923235997997619,0.011658563203129064,0.1659281941006683
0,0.41707057795909164,0.21056305868369604,0.006386369395750352,0.003265846589159155,-0.008981108479679978,-0.001616720749759465,0.0801413632608668,0.0031598768146788303,0.011493988756157664,0.08021992715514555
0,0.412838418589751,0.20921992961400704,0.007113208111945157,0.003807141953960008,-0.0127554228880018,0.02610699006239328,0.014052230351418726,-0.08172996558629211,0.015092808637003418,0.08694151702554843
0,0.4090209047049226,0.2080102976029064,0.010070399797415502,0.0008049179171424614,-0.010124646970808726,0.09180776761313542,-0.08968919796797081,0.0641095227704091,0.014302773200209442,0.143467241334372
0,0.40490461067661143,0.20693618900794017,0.006189260686073145,0.0052865668764078,-0.008408916839251879,-0.11592153530733124,0.13329944997270443,0.05602390602089585,0.011703188436847308,0.18532464422432476
0,0.4016153654042274,0.20558178270478739,0.006122747563527098,0.0011883679360665256,-0.010846865238571812,-0.0077918686966246264,-0.12937120548610104,-0.05750215920802691,0.012512183725548694,0.14178899936277742
0,0.3984495382999994,0.20354942684953853,0.0069733228426072935,0.0029904863145039096,-0.0062644625875037385,0.018811243626253166,0.04805810815202319,0.12820335136868152,0.009839396900963894,0.13820109966306138
0,0.3941404983319359,0.20095342336163147,0.008506204469267753,0.005343173311796123,-0.004136849771067763,0.04186925321814608,0.06770736608540862,0.04443631545314905,0.010863633901290325,0.09116966555999068
0,0.389337349966708,0.19804291532709292,0.008986453619183321,0.0015935624912112034,-0.008037368574431492,0.012456181392520221,-0.11493744822231869,-0.11345276207461452,0.01216121226129974,0.1619793279437245
0,0.38472445935656086,0.1948462399283609,0.004784790260399574,0.0029874267111329733,-0.013319656046734907,-0.12919169005327016,0.037565253151854605,-0.15683353098273115,0.014464859950712524,0.20663590555296638
0,0.38196671874667154,0.19110574211147419,0.007328123682215235,0.0031330386209127703,-0.004498310835520214,0.06639383158685583,0.002020710001450321,0.30658110546318945,0.009151618877277033,0.31369443471111347
0,0.3790717202425309,0.18697613312676994,0.007240501212732439,0.004557385806938319,-0.00527641571307913,-0.008480580924310005,0.04642918906590571,-0.05916576510804447,0.01005162603672118,0.07568472508341217
0,0.3747336613127352,0.18290013595176535,0.009277436061778027,0.0034146413976727796,-0.006337342534516177,0.057341429871768296,-0.026016164597459757,-0.03761658881332999,0.011742763991278545,0.07334772085110881
0,0.3697717802530909,0.17924010593942644,0.008171960126258357,0.0026119219783667935,-0.005470778440472557,-0.030439703834383408,-0.016966488849607053,0.015971830366857648,0.010175091423224232,0.03833453636965618
0,0.3641666861340319,0.17614364723950873,0.005913898245410096,0.002376608583766593,-0.013871905415125452,-0.06174885362112151,-0.0037705300896717364,-0.25922857936195187,0.015266047971354096,0.266508150304443
0,0.35915579073000903,0.1735603352064417,0.0071363103653617616,0.003502884349080887,-0.006575812933450109,0.042216785616045194,0.03681759821217109,0.23836561651007346,0.010316900703677209,0.24485906080864434
0,0.3552831879019597,0.17139708121416547,0.005700366433016163,0.004740388415379965,-0.008329940863224194,-0.042753809970864254,0.042248351071403095,-0.04122901120168267,0.011151384424551878,0.07288787827852979
0,0.35146278410966436,0.16951705013721804,0.02771068997370074,0.032281298779306425,-0.007082039522898931,0.6604236817193861,0.8288678126866003,0.029821855147616233,0.04312910703343291,1.0602219736112357
0,0.34646425386748725,0.16777223583677975,0.009159255294556981,0.004410588918437819,-0.004865650751474049,-0.5536210905083415,-0.8382248147848763,0.04490757788129879,0.011270306535034287,1.0055515116233233
0,0.3411571453321378,0.16600011922092123,0.008662236158913317,0.003006214400976731,-0.0037677920339853066,-0.01162637855683385,-0.04702134061000765,0.04252425724070816,0.00991301755818017,0.064455345821608
