condition,episode,seed,success,near_miss,truncation_reason,final_d_target_cm,steps,blind_fraction,steps_before_first_detection,ever_detected,longest_blind_run,mean_blind_run,pos_err_mean_m,vel_err_mean_ms,blind_runs
privileged,0,9000,True,False,,3.2377,88,0.375,0,True,26,16.5,0.01291,0.18561,7;26
privileged,1,9001,True,False,,2.1618,85,0.5059,0,True,43,43.0,0.01435,0.17844,43
privileged,2,9002,True,False,,7.2132,81,0.358,0,True,29,29.0,0.01032,0.20618,29
privileged,3,9003,True,False,,5.5797,88,0.3977,0,True,32,11.667,0.01216,0.17076,1;2;32
privileged,4,9004,True,False,,4.0815,80,0.45,0,True,36,36.0,0.01221,0.19284,36
privileged,5,9005,True,False,,3.0315,83,0.5181,0,True,43,43.0,0.01668,0.25452,43
privileged,6,9006,True,False,,6.5241,76,0.3816,0,True,29,29.0,0.01248,0.12763,29
privileged,7,9007,True,False,,1.8818,92,0.3913,0,True,31,18.0,0.0125,0.26252,5;31
privileged,8,9008,True,False,,1.5312,79,0.4051,0,True,32,32.0,0.01272,0.23799,32
privileged,9,9009,True,False,,7.7258,75,0.4933,0,True,27,12.333,0.0136,0.29703,6;4;27
privileged,10,9010,True,False,,2.3101,82,0.4268,0,True,35,35.0,0.01403,0.16124,35
privileged,11,9011,True,False,,5.9113,86,0.5116,0,True,44,44.0,0.01598,0.18076,44
privileged,12,9012,True,False,,1.527,85,0.5529,0,True,47,47.0,0.01408,0.20072,47
privileged,13,9013,True,False,,1.7818,89,0.5506,0,True,40,24.5,0.01606,0.22879,9;40
privileged,14,9014,True,False,,2.9675,87,0.3103,0,True,27,27.0,0.01007,0.18061,27
privileged,15,9015,True,False,,4.5583,81,0.2716,0,True,21,11.0,0.01075,0.1982,1;21
privileged,16,9016,True,False,,2.3597,93,0.6559,0,True,47,12.2,0.01194,0.15299,8;1;3;2;47
privileged,17,9017,True,False,,3.1933,79,0.3038,0,True,24,24.0,0.00997,0.24292,24
privileged,18,9018,False,True,below_platform,40.4747,100,0.93,0,True,86,46.5,0.01529,0.17901,7;86
privileged,19,9019,True,False,,8.9147,77,0.5325,0,True,39,20.5,0.01192,0.22416,2;39
privileged,20,9020,True,False,,5.3438,78,0.3974,0,True,28,10.333,0.01292,0.16968,1;2;28
privileged,21,9021,False,True,timeout,10.846,301,0.8771,0,True,263,132.0,0.01312,0.17908,1;263
privileged,22,9022,True,False,,3.736,77,0.5455,0,True,42,42.0,0.01172,0.24499,42
privileged,23,9023,True,False,,6.2644,99,0.404,0,True,32,13.333,0.01336,0.16602,3;5;32
privileged,24,9024,True,False,,3.5986,80,0.475,0,True,32,19.0,0.00968,0.16887,6;32
privileged,25,9025,True,False,,3.0291,81,0.5062,0,True,26,10.25,0.00785,0.13692,13;1;1;26
privileged,26,9026,True,False,,9.5572,75,0.52,0,True,30,19.5,0.01609,0.14274,9;30
privileged,27,9027,True,False,,6.6384,80,0.3375,0,True,27,27.0,0.01264,0.228,27
privileged,28,9028,True,False,,4.1494,79,0.3924,0,True,31,31.0,0.00873,0.18441,31
privileged,29,9029,True,False,,4.2976,81,0.3333,0,True,27,27.0,0.00903,0.2206,27
privileged,30,9030,True,False,,5.1659,80,0.3,0,True,24,24.0,0.01075,0.18281,24
privileged,31,9031,True,False,,8.283,123,0.748,0,True,92,92.0,0.01962,0.19476,92
privileged,32,9032,True,False,,6.7425,83,0.4699,0,True,39,39.0,0.0106,0.16576,39
privileged,33,9033,True,False,,1.6295,85,0.4588,0,True,39,39.0,0.01251,0.21029,39
privileged,34,9034,True,False,,2.2681,82,0.4268,0,True,35,35.0,0.0115,0.16421,35
privileged,35,9035,True,False,,7.3159,90,0.6778,0,True,45,15.25,0.01482,0.21518,8;1;7;45
privileged,36,9036,True,False,,2.0999,85,0.4941,0,True,38,21.0,0.01243,0.19938,4;38
privileged,37,9037,True,False,,1.7588,89,0.4831,0,True,35,21.5,0.01354,0.31654,8;35
privileged,38,9038,True,False,,6.578,85,0.4824,0,True,41,41.0,0.01858,0.21135,41
privileged,39,9039,True,False,,7.1368,89,0.4157,0,True,37,37.0,0.01729,0.18563,37
privileged,40,9040,True,False,,2.4319,83,0.4699,0,True,39,39.0,0.01453,0.2278,39
privileged,41,9041,True,False,,5.787,85,0.3412,0,True,29,29.0,0.01018,0.17786,29
privileged,42,9042,True,False,,2.1934,82,0.4634,0,True,38,38.0,0.01338,0.17398,38
privileged,43,9043,True,False,,3.1509,81,0.3951,0,True,31,16.0,0.01274,0.17723,1;31
privileged,44,9044,True,False,,1.3361,82,0.5,0,True,41,41.0,0.01265,0.15418,41
privileged,45,9045,True,False,,8.5458,150,0.78,0,True,116,58.5,0.016,0.21099,1;116
privileged,46,9046,True,False,,3.3381,81,0.3704,0,True,30,30.0,0.0111,0.22507,30
privileged,47,9047,True,False,,2.9097,81,0.4938,0,True,40,40.0,0.01617,0.24512,40
privileged,48,9048,True,False,,6.1997,75,0.3333,0,True,25,25.0,0.01473,0.18814,25
privileged,49,9049,True,False,,3.9569,81,0.3704,0,True,30,30.0,0.01019,0.20726,30
hold,0,9000,True,False,,2.3845,105,0.381,0,True,32,10.0,0.01316,0.2124,3;4;1;32
hold,1,9001,True,False,,9.1464,120,0.5333,0,True,35,21.333,0.01211,0.18582,14;15;35
hold,2,9002,True,False,,9.5572,87,0.3793,0,True,33,33.0,0.0091,0.18969,33
hold,3,9003,True,False,,9.454,98,0.2653,0,True,20,6.5,0.01157,0.15994,1;4;1;20
hold,4,9004,False,True,timeout,23.9474,301,0.8837,0,True,266,266.0,0.01228,0.15278,266
hold,5,9005,False,True,below_platform,68.9624,138,0.6522,0,True,79,30.0,0.01471,0.16014,9;2;79
hold,6,9006,False,True,below_platform,56.6984,102,0.5196,0,True,53,53.0,0.01356,0.20632,53
hold,7,9007,False,True,timeout,20.9107,301,0.7741,0,True,233,233.0,0.01028,0.18484,233
hold,8,9008,False,True,below_platform,51.9458,129,0.5271,0,True,68,68.0,0.01118,0.18196,68
hold,9,9009,False,True,below_platform,110.0842,143,0.7203,0,True,92,25.75,0.01249,0.1671,6;4;1;92
hold,10,9010,False,True,below_platform,43.0417,125,0.632,0,True,56,19.75,0.01365,0.19063,4;11;8;56
hold,11,9011,False,True,below_platform,41.7941,97,0.5361,0,True,52,52.0,0.01434,0.10567,52
hold,12,9012,False,True,below_platform,115.785,158,0.7025,0,True,107,55.5,0.01306,0.14088,4;107
hold,13,9013,False,True,timeout,18.175,301,0.7143,0,True,207,71.667,0.01517,0.21499,1;7;207
hold,14,9014,False,True,below_platform,46.2521,131,0.4809,0,True,55,21.0,0.01157,0.1912,1;7;55
hold,15,9015,True,False,,7.3963,99,0.3434,0,True,34,34.0,0.01027,0.16713,34
hold,16,9016,False,False,timeout,302.6067,301,0.7442,0,True,209,44.8,0.01371,0.20182,4;3;7;1;209
hold,17,9017,False,True,below_platform,46.1376,121,0.5702,0,True,52,23.0,0.01056,0.202,9;8;52
hold,18,9018,False,True,below_platform,77.6349,117,0.906,0,True,96,35.333,0.01217,0.17202,8;2;96
hold,19,9019,True,False,,8.7662,83,0.5181,0,True,38,21.5,0.01064,0.16151,5;38
