timestep,level,platform_speed_range,success_rate,blind_fraction,longest_blind_run,steps_before_first_detection,pos_err_m,vel_err_ms
625000,4,0.0,80.0,0.5575,96.9,0.0,0.01083,0.18663
650000,4,0.0,80.0,0.5196,81.9,0.0,0.01083,0.18574
675000,5,0.0,70.0,0.5118,99.1,0.0,0.01077,0.21056
700000,5,0.0,90.0,0.5037,78.8,0.0,0.01067,0.20355
725000,5,0.0,60.0,0.572,123.1,0.0,0.01073,0.18985
750000,5,0.0,80.0,0.4961,80.1,0.0,0.01065,0.18689
775000,5,0.0,70.0,0.5353,102.5,0.0,0.01067,0.20334
800000,7,0.0,90.0,0.523,79.4,0.0,0.01103,0.17931
825000,7,0.0,80.0,0.4875,80.8,0.0,0.01076,0.16449
850000,8,0.05,50.0,0.6282,131.0,0.0,0.01135,0.17498
875000,8,0.05,90.0,0.4907,72.0,0.0,0.01118,0.1732
900000,9,0.1,30.0,0.6873,131.0,0.0,0.01242,0.20052
925000,9,0.1,30.0,0.703,151.2,0.0,0.01229,0.21608
950000,9,0.1,30.0,0.722,140.9,0.0,0.01279,0.21568
975000,9,0.1,20.0,0.7514,186.6,0.0,0.01136,0.18189
1000000,9,0.1,20.0,0.7773,167.7,0.0,0.01211,0.17863
1025000,9,0.1,30.0,0.7001,124.7,0.0,0.01209,0.22046
1050000,9,0.1,40.0,0.5953,127.6,0.0,0.01229,0.21578
1075000,9,0.1,30.0,0.7155,170.2,0.0,0.01166,0.20014
1100000,9,0.1,30.0,0.6713,172.3,0.0,0.01176,0.21218
1125000,9,0.1,20.0,0.7215,189.9,0.0,0.01183,0.22487
1150000,9,0.1,20.0,0.7249,168.7,0.0,0.01118,0.21076
1175000,9,0.1,30.0,0.7517,184.0,0.0,0.0115,0.20199
1200000,9,0.1,40.0,0.6908,149.3,0.0,0.01133,0.20151
