timestep,level,spawn_radius_min,spawn_radius_max,platform_speed_range,successes,episodes,success_rate,mean_success_distance_cm,mean_return,near_miss,timeout,below_platform,tilt_bound,position_bound,terminated_no_reason
605000,4,0.11,0.2,0.0,11,20,55.0,7.2556,6.306814,9,6,3,0,0,0
610000,4,0.11,0.2,0.0,13,20,65.0,5.4817,8.890651,6,7,0,0,0,0
615000,4,0.11,0.2,0.0,10,20,50.0,6.9941,5.05552,8,9,1,0,0,0
620000,4,0.11,0.2,0.0,14,20,70.0,7.3963,11.040672,6,5,1,0,0,0
625000,4,0.11,0.2,0.0,7,20,35.0,7.2885,0.133904,9,13,0,0,0,0
630000,4,0.11,0.2,0.0,15,20,75.0,6.7914,12.489292,5,5,0,0,0,0
635000,4,0.11,0.2,0.0,14,20,70.0,6.4885,11.565737,6,6,0,0,0,0
640000,4,0.11,0.2,0.0,12,20,60.0,7.5555,7.561191,7,8,0,0,0,0
645000,4,0.11,0.2,0.0,13,20,65.0,6.6417,8.986111,7,5,2,0,0,0
650000,4,0.11,0.2,0.0,14,20,70.0,6.2004,10.980539,6,5,1,0,0,0
655000,4,0.11,0.2,0.0,12,20,60.0,5.7641,9.046053,8,8,0,0,0,0
660000,4,0.11,0.2,0.0,19,20,95.0,6.2697,18.082614,1,1,0,0,0,0
665000,5,0.11,0.23,0.0,13,20,65.0,7.1127,9.9744,7,7,0,0,0,0
670000,5,0.11,0.23,0.0,12,20,60.0,5.7832,9.185373,8,8,0,0,0,0
675000,5,0.11,0.23,0.0,12,20,60.0,6.8018,9.118672,8,8,0,0,0,0
680000,5,0.11,0.23,0.0,11,20,55.0,5.9516,7.852613,9,9,0,0,0,0
685000,5,0.11,0.23,0.0,15,20,75.0,6.661,13.073744,5,5,0,0,0,0
690000,5,0.11,0.23,0.0,15,20,75.0,5.9662,13.042326,5,5,0,0,0,0
695000,5,0.11,0.23,0.0,8,20,40.0,7.981,3.732209,12,12,0,0,0,0
700000,5,0.11,0.23,0.0,15,20,75.0,6.7326,12.777141,5,5,0,0,0,0
705000,5,0.11,0.23,0.0,13,20,65.0,5.7267,10.349567,7,7,0,0,0,0
710000,5,0.11,0.23,0.0,12,20,60.0,6.0898,9.135471,8,8,0,0,0,0
715000,5,0.11,0.23,0.0,15,20,75.0,5.4804,12.72139,5,5,0,0,0,0
720000,5,0.11,0.23,0.0,14,20,70.0,6.7748,11.543776,6,5,1,0,0,0
725000,5,0.11,0.23,0.0,11,20,55.0,7.0277,6.70407,9,7,2,0,0,0
730000,5,0.11,0.23,0.0,11,20,55.0,8.4078,7.448407,9,9,0,0,0,0
735000,5,0.11,0.23,0.0,15,20,75.0,6.9049,12.795987,5,5,0,0,0,0
740000,5,0.11,0.23,0.0,13,20,65.0,6.5606,10.063822,7,7,0,0,0,0
745000,5,0.11,0.23,0.0,14,20,70.0,7.1671,11.627028,6,6,0,0,0,0
750000,5,0.11,0.23,0.0,9,20,45.0,8.1861,5.167168,11,11,0,0,0,0
755000,5,0.11,0.23,0.0,12,20,60.0,7.0203,9.041008,8,8,0,0,0,0
760000,5,0.11,0.23,0.0,10,20,50.0,7.062,6.206751,10,10,0,0,0,0
765000,5,0.11,0.23,0.0,17,20,85.0,7.4359,15.349209,3,3,0,0,0,0
770000,5,0.11,0.23,0.0,15,20,75.0,8.4075,12.150799,4,5,0,0,0,0
775000,5,0.11,0.23,0.0,13,20,65.0,8.6483,9.716387,7,7,0,0,0,0
780000,5,0.11,0.23,0.0,12,20,60.0,6.4386,7.556903,8,4,4,0,0,0
785000,5,0.11,0.23,0.0,14,20,70.0,7.6507,10.691843,6,5,1,0,0,0
790000,5,0.11,0.23,0.0,20,20,100.0,7.4362,19.31027,0,0,0,0,0,0
795000,6,0.11,0.26,0.0,15,20,75.0,6.0291,12.189451,5,5,0,0,0,0
800000,6,0.11,0.26,0.0,19,20,95.0,8.549,17.706135,1,1,0,0,0,0
805000,7,0.11,0.3,0.0,12,20,60.0,7.685,7.982049,7,8,0,0,0,0
810000,7,0.11,0.3,0.0,11,20,55.0,7.9316,5.697438,8,8,1,0,0,0
815000,7,0.11,0.3,0.0,12,20,60.0,7.4717,8.497659,8,6,2,0,0,0
820000,7,0.11,0.3,0.0,15,20,75.0,5.6529,12.201219,5,3,2,0,0,0
825000,7,0.11,0.3,0.0,15,20,75.0,7.3742,12.45629,5,5,0,0,0,0
830000,7,0.11,0.3,0.0,18,20,90.0,6.6997,16.758994,2,2,0,0,0,0
835000,8,0.11,0.3,0.05,11,20,55.0,6.3968,7.283053,9,8,1,0,0,0
840000,8,0.11,0.3,0.05,16,20,80.0,6.2482,14.023737,4,4,0,0,0,0
845000,8,0.11,0.3,0.05,11,20,55.0,6.9066,6.872058,9,7,2,0,0,0
850000,8,0.11,0.3,0.05,9,20,45.0,6.6972,4.375227,11,10,1,0,0,0
855000,8,0.11,0.3,0.05,11,20,55.0,6.7649,6.772647,9,6,3,0,0,0
860000,8,0.11,0.3,0.05,12,20,60.0,7.1531,7.945643,8,6,2,0,0,0
865000,8,0.11,0.3,0.05,15,20,75.0,7.0657,12.493646,5,4,1,0,0,0
870000,8,0.11,0.3,0.05,14,20,70.0,8.3858,9.888964,5,5,1,0,0,0
875000,8,0.11,0.3,0.05,16,20,80.0,6.1139,13.988228,4,3,1,0,0,0
880000,8,0.11,0.3,0.05,19,20,95.0,6.8456,17.388215,1,0,1,0,0,0
885000,9,0.11,0.3,0.1,7,20,35.0,5.0965,0.843819,13,8,5,0,0,0
890000,9,0.11,0.3,0.1,5,20,25.0,5.2304,-2.527411,14,12,3,0,0,0
895000,9,0.11,0.3,0.1,7,20,35.0,7.8292,0.776942,13,9,4,0,0,0
900000,9,0.11,0.3,0.1,7,20,35.0,7.7874,0.361608,13,8,5,0,0,0
905000,9,0.11,0.3,0.1,8,20,40.0,7.6994,0.963516,12,6,6,0,0,0
910000,9,0.11,0.3,0.1,6,20,30.0,7.5107,0.42947,14,10,4,0,0,0
915000,9,0.11,0.3,0.1,8,20,40.0,8.4206,1.515106,12,6,6,0,0,0
920000,9,0.11,0.3,0.1,3,20,15.0,7.5899,-7.161987,14,12,5,0,0,0
925000,9,0.11,0.3,0.1,5,20,25.0,8.4097,-3.073432,13,7,8,0,0,0
930000,9,0.11,0.3,0.1,5,20,25.0,8.5007,-4.068382,13,7,8,0,0,0
935000,9,0.11,0.3,0.1,4,20,20.0,4.2516,-8.818659,13,9,7,0,0,0
940000,9,0.11,0.3,0.1,7,20,35.0,6.1661,-0.699583,13,5,8,0,0,0
945000,9,0.11,0.3,0.1,1,20,5.0,9.5536,-10.179441,17,6,13,0,0,0
950000,9,0.11,0.3,0.1,4,20,20.0,6.4263,-4.443739,14,8,8,0,0,0
955000,9,0.11,0.3,0.1,3,20,15.0,9.5341,-4.504659,17,10,7,0,0,0
960000,9,0.11,0.3,0.1,3,20,15.0,7.219,-4.612105,17,11,6,0,0,0
965000,9,0.11,0.3,0.1,7,20,35.0,7.3398,0.300156,13,9,4,0,0,0
970000,9,0.11,0.3,0.1,4,20,20.0,5.4119,-3.944533,16,10,6,0,0,0
975000,9,0.11,0.3,0.1,5,20,25.0,6.6728,-2.037013,15,9,6,0,0,0
980000,9,0.11,0.3,0.1,5,20,25.0,7.1201,-2.307584,13,9,6,0,0,0
985000,9,0.11,0.3,0.1,5,20,25.0,8.3072,-3.283864,14,9,6,0,0,0
990000,9,0.11,0.3,0.1,4,20,20.0,7.2082,-3.364335,14,11,5,0,0,0
995000,9,0.11,0.3,0.1,5,20,25.0,7.0664,-1.588771,15,11,4,0,0,0
1000000,9,0.11,0.3,0.1,4,20,20.0,8.2933,-4.243098,16,7,9,0,0,0
1005000,9,0.11,0.3,0.1,6,20,30.0,6.1914,-0.693824,14,9,5,0,0,0
1010000,9,0.11,0.3,0.1,2,20,10.0,8.3009,-5.678686,10,15,3,0,0,0
1015000,9,0.11,0.3,0.1,9,20,45.0,8.8826,2.646664,11,4,7,0,0,0
1020000,9,0.11,0.3,0.1,5,20,25.0,5.5402,-1.51622,15,9,6,0,0,0
1025000,9,0.11,0.3,0.1,3,20,15.0,8.533,-3.520005,17,15,2,0,0,0
1030000,9,0.11,0.3,0.1,4,20,20.0,7.398,-3.048403,16,11,5,0,0,0
1035000,9,0.11,0.3,0.1,7,20,35.0,7.8015,1.474527,11,9,4,0,0,0
1040000,9,0.11,0.3,0.1,5,20,25.0,7.3539,-3.202044,14,5,10,0,0,0
1045000,9,0.11,0.3,0.1,5,20,25.0,5.8417,-1.315888,15,11,4,0,0,0
1050000,9,0.11,0.3,0.1,4,20,20.0,8.2885,-4.821983,15,7,9,0,0,0
1055000,9,0.11,0.3,0.1,8,20,40.0,6.5553,2.145687,12,10,2,0,0,0
1060000,9,0.11,0.3,0.1,7,20,35.0,5.3915,0.892312,11,8,5,0,0,0
1065000,9,0.11,0.3,0.1,5,20,25.0,7.3636,-0.582661,12,14,1,0,0,0
1070000,9,0.11,0.3,0.1,5,20,25.0,5.1823,-1.490042,14,12,3,0,0,0
1075000,9,0.11,0.3,0.1,6,20,30.0,6.4825,-1.044531,14,7,7,0,0,0
1080000,9,0.11,0.3,0.1,6,20,30.0,7.6332,-0.004609,14,10,4,0,0,0
1085000,9,0.11,0.3,0.1,6,20,30.0,5.6377,0.322673,12,13,1,0,0,0
1090000,9,0.11,0.3,0.1,9,20,45.0,7.8959,4.37775,11,10,1,0,0,0
1095000,9,0.11,0.3,0.1,7,20,35.0,5.2247,0.959291,13,10,3,0,0,0
1100000,9,0.11,0.3,0.1,7,20,35.0,6.2819,1.627824,13,11,2,0,0,0
1105000,9,0.11,0.3,0.1,7,20,35.0,7.6201,0.75218,12,7,6,0,0,0
1110000,9,0.11,0.3,0.1,7,20,35.0,6.2767,1.092153,13,9,4,0,0,0
1115000,9,0.11,0.3,0.1,8,20,40.0,7.2127,2.48347,11,10,2,0,0,0
1120000,9,0.11,0.3,0.1,7,20,35.0,6.866,0.767615,13,13,0,0,0,0
1125000,9,0.11,0.3,0.1,9,20,45.0,5.9002,4.280346,11,9,2,0,0,0
1130000,9,0.11,0.3,0.1,4,20,20.0,6.4521,-3.163452,16,12,4,0,0,0
1135000,9,0.11,0.3,0.1,7,20,35.0,6.9961,1.573941,12,10,3,0,0,0
1140000,9,0.11,0.3,0.1,6,20,30.0,8.4779,0.314231,12,12,2,0,0,0
1145000,9,0.11,0.3,0.1,9,20,45.0,7.4233,3.976428,10,8,3,0,0,0
1150000,9,0.11,0.3,0.1,5,20,25.0,7.5024,-0.814457,15,13,2,0,0,0
1155000,9,0.11,0.3,0.1,7,20,35.0,7.4023,1.597317,13,11,2,0,0,0
1160000,9,0.11,0.3,0.1,8,20,40.0,6.3333,2.67274,12,6,6,0,0,0
1165000,9,0.11,0.3,0.1,7,20,35.0,7.1655,1.604714,12,11,2,0,0,0
1170000,9,0.11,0.3,0.1,10,20,50.0,7.7822,3.725844,9,8,2,0,0,0
1175000,9,0.11,0.3,0.1,10,20,50.0,8.688,4.352132,10,5,5,0,0,0
1180000,9,0.11,0.3,0.1,8,20,40.0,7.1552,2.352191,12,6,6,0,0,0
1185000,9,0.11,0.3,0.1,11,20,55.0,7.3335,6.545482,9,5,4,0,0,0
1190000,9,0.11,0.3,0.1,11,20,55.0,6.4834,6.568018,9,8,1,0,0,0
1195000,9,0.11,0.3,0.1,8,20,40.0,6.424,1.671278,12,8,4,0,0,0
1200000,9,0.11,0.3,0.1,8,20,40.0,7.2528,2.12305,12,7,5,0,0,0
