condition,episode,seed,success,near_miss,truncation_reason,final_d_target_cm,steps,blind_fraction,steps_before_first_detection,ever_detected,longest_blind_run,mean_blind_run,pos_err_mean_m,vel_err_mean_ms,blind_runs
privileged,0,9000,True,False,,2.5952,79,0.4051,0,True,29,16.0,0.01365,0.21417,3;29
privileged,1,9001,True,False,,3.4372,72,0.4444,0,True,32,32.0,0.01292,0.16204,32
privileged,2,9002,True,False,,6.1868,70,0.3571,0,True,25,25.0,0.01073,0.21782,25
privileged,3,9003,True,False,,4.1874,74,0.5676,0,True,42,42.0,0.01249,0.13334,42
privileged,4,9004,True,False,,5.9098,76,0.4474,0,True,34,34.0,0.01131,0.14034,34
privileged,5,9005,True,False,,3.358,75,0.3867,0,True,29,29.0,0.01408,0.15431,29
privileged,6,9006,True,False,,4.758,71,0.4789,0,True,34,34.0,0.01344,0.22796,34
privileged,7,9007,True,False,,2.7213,71,0.3239,0,True,22,11.5,0.00882,0.12679,1;22
privileged,8,9008,True,False,,3.1297,76,0.3553,0,True,22,6.75,0.01081,0.15929,2;2;1;22
privileged,9,9009,True,False,,3.7536,76,0.4211,0,True,27,10.667,0.01181,0.15941,3;2;27
privileged,10,9010,True,False,,3.0018,76,0.5132,0,True,39,39.0,0.01548,0.18091,39
privileged,11,9011,True,False,,8.3998,81,0.5926,0,True,36,16.0,0.01561,0.14949,3;9;36
privileged,12,9012,True,False,,2.2539,74,0.3919,0,True,27,14.5,0.01316,0.21649,2;27
privileged,13,9013,True,False,,2.9111,78,0.5513,0,True,43,43.0,0.01611,0.15702,43
privileged,14,9014,True,False,,4.0765,69,0.4203,0,True,29,29.0,0.01195,0.27404,29
privileged,15,9015,True,False,,3.149,74,0.473,0,True,32,17.5,0.01146,0.24251,3;32
privileged,16,9016,True,False,,4.142,94,0.4362,0,True,32,10.25,0.01447,0.26979,7;1;1;32
privileged,17,9017,True,False,,3.282,70,0.4286,0,True,30,30.0,0.01123,0.28078,30
privileged,18,9018,True,False,,8.1874,179,0.933,0,True,161,83.5,0.01412,0.28859,6;161
privileged,19,9019,True,False,,5.4489,67,0.403,0,True,24,13.5,0.01047,0.19016,3;24
privileged,20,9020,True,False,,4.0906,72,0.6667,0,True,46,24.0,0.0183,0.27435,2;46
privileged,21,9021,True,False,,5.9064,195,0.1282,0,True,25,25.0,0.01589,0.23615,25
privileged,22,9022,True,False,,3.5134,68,0.4118,0,True,28,28.0,0.00989,0.24152,28
privileged,23,9023,True,False,,9.0252,171,0.7778,0,True,133,133.0,0.01238,0.20489,133
privileged,24,9024,True,False,,3.3139,70,0.5429,0,True,27,12.667,0.00873,0.122,9;2;27
privileged,25,9025,True,False,,2.9573,73,0.863,0,True,42,21.0,0.00929,0.14598,15;6;42
privileged,26,9026,True,False,,4.8681,72,0.5556,0,True,39,20.0,0.01577,0.18307,1;39
privileged,27,9027,True,False,,3.19,72,0.3056,0,True,22,22.0,0.01173,0.24123,22
privileged,28,9028,True,False,,1.9596,69,0.4058,0,True,28,28.0,0.0105,0.23928,28
privileged,29,9029,True,False,,3.7146,69,0.3188,0,True,22,22.0,0.00888,0.15701,22
