timestep,level,spawn_radius_min,spawn_radius_max,platform_speed_range,successes,episodes,success_rate,mean_success_distance_cm,mean_return,near_miss,timeout,below_platform,tilt_bound,position_bound,terminated_no_reason
5000,1,0.11,0.14,0.0,0,20,0.0,,-12.150726,0,20,0,0,0,0
10000,1,0.11,0.14,0.0,0,20,0.0,,-8.592364,20,13,7,0,0,0
15000,1,0.11,0.14,0.0,3,20,15.0,9.2547,-3.686523,17,12,5,0,0,0
20000,1,0.11,0.14,0.0,0,20,0.0,,-12.074712,14,10,10,0,0,0
25000,1,0.11,0.14,0.0,5,20,25.0,6.801,-2.2464,13,12,3,0,0,0
30000,1,0.11,0.14,0.0,0,20,0.0,,-10.106266,19,11,9,0,0,0
35000,1,0.11,0.14,0.0,5,20,25.0,7.7835,-1.29539,15,12,3,0,0,0
40000,1,0.11,0.14,0.0,0,20,0.0,,-13.831585,18,5,15,0,0,0
