episode,step,height_above_pad,horizontal_error,cam_u,cam_v,corners_in_frame,fully_in_frame,centre_in_frame,px_per_cell,loss_cause,aruco_detected,aruco_pos_err
0,70,0.12455,0.11526,-1.0224,0.2659,1,False,False,25.11,too_close,False,nan
0,71,0.11865,0.11045,-1.0372,0.2978,1,False,False,26.96,lateral,False,nan
0,72,0.11263,0.10547,-0.9904,0.2725,1,False,True,27.03,lateral,False,nan
0,73,0.10584,0.10055,-0.9522,0.214,0,False,True,27.04,lateral,False,nan
0,74,0.09915,0.09609,-0.9858,0.2111,0,False,True,28.46,lateral,False,nan
0,75,0.09282,0.09214,-1.0696,0.2518,0,False,False,32.11,lateral,False,nan
0,76,0.08636,0.08844,-1.1329,0.2409,0,False,False,35.98,lateral,False,nan
0,77,0.07918,0.0849,-1.1801,0.189,0,False,False,38.58,lateral,False,nan
0,78,0.07165,0.08164,-1.3094,0.1977,0,False,False,43.94,lateral,False,nan
0,79,0.06437,0.0786,-1.4712,0.2488,0,False,False,52.29,lateral,False,nan
0,80,0.05748,0.07566,-1.5664,0.2194,0,False,False,60.19,lateral,False,nan
0,81,0.05018,0.07297,-1.7292,0.1383,0,False,False,65.9,lateral,False,nan
0,82,0.04224,0.07072,-2.1775,0.0715,0,False,False,85.4,lateral,False,nan
0,83,0.03436,0.06886,-3.0274,-0.0214,0,False,False,164.69,lateral,False,nan
0,84,0.0264,0.06718,-4.3806,-0.2612,0,False,False,296.83,lateral,False,nan
0,85,0.01832,0.06565,-8.6965,-0.8696,0,False,False,820.79,lateral,False,nan
0,86,0.01284,0.06452,-45.9716,-3.9979,0,False,False,4607.82,behind,False,nan
0,87,0.01336,0.06414,-41.186,-3.5267,0,False,False,2075.63,behind,False,nan
1,1,0.49747,0.1396,0.1185,0.239,4,True,True,5.52,,True,0.01155130902733059
1,2,0.49217,0.13392,0.0694,0.2227,4,True,True,5.54,,True,0.022796943950800338
1,3,0.48612,0.12869,0.0193,0.2046,4,True,True,5.61,,True,0.01493630179083708
1,4,0.48009,0.12421,0.0066,0.1915,4,True,True,5.83,,True,0.013386123392370714
1,5,0.4744,0.12064,0.0403,0.1718,4,True,True,5.81,,True,0.01675223793885811
1,6,0.46888,0.11797,0.0735,0.1559,4,True,True,5.83,,True,0.020876185829696452
1,7,0.46344,0.11617,0.0681,0.1782,4,True,True,5.99,,True,0.018790549291812175
1,8,0.45798,0.11509,0.071,0.1951,4,True,True,6.16,,True,0.011565766285989484
1,9,0.45267,0.11453,0.1072,0.206,4,True,True,6.11,,True,0.020579681749448877
1,10,0.44733,0.11429,0.1313,0.2435,4,True,True,6.2,,True,0.020194368845104265
1,11,0.44194,0.11397,0.1093,0.275,4,True,True,6.31,,True,0.011136088528856215
1,12,0.4366,0.11339,0.0927,0.2649,4,True,True,6.4,,True,0.018997057229752038
1,13,0.43121,0.11267,0.1232,0.2535,4,True,True,6.41,,True,0.012754680542790895
1,14,0.42582,0.11186,0.1499,0.2775,4,True,True,6.73,,True,0.020261996121329378
1,15,0.42072,0.11069,0.1281,0.2973,4,True,True,6.73,,True,0.007678676643329066
1,16,0.41555,0.1091,0.111,0.2745,4,True,True,6.71,,True,0.008240318620136187
1,17,0.41006,0.10735,0.1415,0.2499,4,True,True,6.85,,True,0.01032088393042275
1,18,0.40441,0.10556,0.1938,0.2208,4,True,True,7.12,,True,0.015238460006303266
1,19,0.39882,0.10366,0.2237,0.2025,4,True,True,7.12,,True,0.008379135770557366
1,20,0.39324,0.1016,0.2184,0.1778,4,True,True,7.13,,True,0.00841638463612493
1,21,0.38751,0.0995,0.2038,0.1501,4,True,True,7.21,,True,0.01301624876816228
1,22,0.38154,0.09757,0.2105,0.1622,4,True,True,7.51,,True,0.009302499844143521
1,23,0.37573,0.09573,0.2138,0.1782,4,True,True,7.52,,True,0.006398659851081445
1,24,0.37005,0.09381,0.1991,0.1557,4,True,True,7.5,,True,0.012001625774031875
1,25,0.36421,0.09199,0.2053,0.1299,4,True,True,7.65,,True,0.007924846335928054
1,26,0.3583,0.09039,0.2069,0.14,4,True,True,7.94,,True,0.008285624741894938
1,27,0.35227,0.08895,0.1884,0.1533,4,True,True,7.88,,True,0.008994962306512592
1,28,0.34616,0.0877,0.193,0.129,4,True,True,8.01,,True,0.010392335463805828
1,29,0.34007,0.08676,0.1988,0.1027,4,True,True,8.2,,True,0.007480909214154365
1,30,0.33394,0.08623,0.2102,0.1172,4,True,True,8.46,,True,0.00820455870771332
1,31,0.32798,0.08603,0.2117,0.1361,4,True,True,8.46,,True,0.009711345872370969
1,32,0.32197,0.08603,0.2008,0.1171,4,True,True,8.63,,True,0.020490579700049173
1,33,0.31568,0.08644,0.2196,0.0956,4,True,True,8.9,,True,0.009693143135455162
1,34,0.30962,0.08734,0.2342,0.1118,4,True,True,9.06,,True,0.010114968975149708
1,35,0.30329,0.08858,0.2519,0.1766,4,True,True,9.21,,True,0.026809894698547575
1,36,0.29697,0.08984,0.2674,0.2381,4,True,True,9.69,,True,0.009126503762416386
1,37,0.29091,0.09075,0.2531,0.2502,4,True,True,9.85,,True,0.009161679248775591
1,38,0.28423,0.09138,0.2407,0.2273,4,True,True,10.02,,True,0.007898066582296012
1,39,0.27725,0.09202,0.259,0.2237,4,True,True,10.06,,True,0.008023769533566141
1,40,0.27055,0.09272,0.2847,0.2215,4,True,True,10.48,,True,0.03547263170574815
1,41,0.26394,0.0934,0.3244,0.2168,4,True,True,10.77,,True,0.006730217649668562
1,42,0.25742,0.09392,0.3526,0.2302,4,True,True,11.4,,True,0.0074819812533767705
1,43,0.25063,0.09412,0.3734,0.2395,4,True,True,11.59,,True,0.0059499433067894516
1,44,0.2437,0.09389,0.3867,0.2539,4,True,True,12.13,,False,nan
1,45,0.23698,0.09316,0.3663,0.2463,4,True,True,12.15,,False,nan
1,46,0.23008,0.09215,0.3464,0.2079,4,True,True,12.33,,True,0.005158735951799737
1,47,0.22303,0.09123,0.3601,0.1975,4,True,True,12.87,,False,nan
1,48,0.21608,0.0905,0.372,0.2277,3,False,True,13.36,tilt,False,nan
1,49,0.20888,0.08986,0.3981,0.2412,2,False,True,13.8,too_close,False,nan
1,50,0.20184,0.08917,0.4129,0.2227,2,False,True,14.47,too_close,False,nan
1,51,0.19497,0.08849,0.3884,0.2279,2,False,True,14.87,too_close,False,nan
1,52,0.18778,0.08806,0.3828,0.2728,2,False,True,15.26,too_close,False,nan
1,53,0.18034,0.08791,0.4329,0.3254,1,False,True,16.27,too_close,False,nan
1,54,0.17323,0.08769,0.4722,0.3562,1,False,True,17.7,too_close,False,nan
1,55,0.16633,0.08715,0.4511,0.403,1,False,True,18.09,too_close,False,nan
1,56,0.1591,0.08633,0.4387,0.4425,1,False,True,18.99,too_close,False,nan
1,57,0.15188,0.08525,0.4897,0.4746,1,False,True,20.78,too_close,False,nan
1,58,0.14483,0.08369,0.5294,0.4989,1,False,True,22.53,too_close,False,nan
1,59,0.13775,0.0815,0.4877,0.4853,1,False,True,22.15,too_close,False,nan
1,60,0.13035,0.07899,0.4036,0.4693,1,False,True,22.42,too_close,False,nan
1,61,0.12289,0.07677,0.3553,0.4864,1,False,True,22.69,too_close,False,nan
1,62,0.11529,0.07518,0.3544,0.5094,1,False,True,24.1,too_close,False,nan
1,63,0.10738,0.07436,0.3913,0.5681,1,False,True,26.5,too_close,False,nan
1,64,0.0993,0.07418,0.4962,0.6385,1,False,True,30.29,too_close,False,nan
1,65,0.09147,0.07434,0.6369,0.6534,1,False,True,33.9,too_close,False,nan
1,66,0.08395,0.07466,0.7467,0.6782,0,False,True,38.91,too_close,False,nan
1,67,0.07631,0.07512,0.8824,0.8181,0,False,True,44.88,too_close,False,nan
1,68,0.06849,0.07548,1.055,0.9971,0,False,False,54.59,too_close,False,nan
1,69,0.06075,0.07545,1.24,1.1584,0,False,False,65.33,lateral,False,nan
1,70,0.05332,0.07498,1.4788,1.3617,0,False,False,83.37,lateral,False,nan
1,71,0.04613,0.07405,1.8025,1.6631,0,False,False,105.73,lateral,False,nan
1,72,0.0386,0.07266,2.3338,2.1667,0,False,False,150.58,lateral,False,nan
1,73,0.03112,0.07078,3.0107,2.6563,0,False,False,171.04,lateral,False,nan
1,74,0.02375,0.06862,4.4917,3.8046,0,False,False,238.39,lateral,False,nan
1,75,0.01636,0.0664,13.0471,11.3785,0,False,False,5299.24,lateral,False,nan
1,76,0.01315,0.06509,34.0574,30.5231,0,False,False,2805.36,behind,False,nan
1,77,0.01337,0.06464,39.649,33.8787,0,False,False,4098.21,behind,False,nan
2,1,0.49769,0.12044,0.2266,0.0349,4,True,True,5.47,,True,0.017414617904155015
2,2,0.49278,0.11692,0.214,0.0292,4,True,True,5.52,,True,0.019232925911060676
2,3,0.48735,0.11367,0.1982,0.0197,4,True,True,5.58,,True,0.0236334310249569
2,4,0.48168,0.11081,0.1878,0.0095,4,True,True,5.64,,True,0.017499479617983073
2,5,0.47532,0.10843,0.215,0.038,4,True,True,5.87,,True,0.01096337494741264
2,6,0.46899,0.10627,0.235,0.0697,4,True,True,5.88,,True,0.007709421051597084
2,7,0.46302,0.10405,0.2164,0.0635,4,True,True,6.07,,True,0.013186795542439218
2,8,0.45729,0.10187,0.2052,0.0529,4,True,True,6.05,,True,0.01599416609931568
2,9,0.45146,0.09987,0.1908,0.077,4,True,True,6.03,,True,0.013406621066004737
2,10,0.44529,0.0981,0.1789,0.1036,4,True,True,6.25,,True,0.016650952278177814
2,11,0.43923,0.09658,0.2009,0.0923,4,True,True,6.51,,True,0.01888215912625773
2,12,0.43358,0.09516,0.2191,0.0775,4,True,True,6.51,,True,0.016459884115677198
2,13,0.42776,0.0937,0.2009,0.0984,4,True,True,6.43,,True,0.020277298444372132
2,14,0.42146,0.09226,0.1841,0.1229,4,True,True,6.58,,True,0.01800546039891407
2,15,0.41524,0.09089,0.2052,0.1097,4,True,True,6.82,,True,0.015268169681409613
2,16,0.40939,0.08948,0.226,0.092,4,True,True,6.79,,True,0.013346066799993868
2,17,0.40335,0.08791,0.2098,0.1041,4,True,True,7.0,,True,0.01236541537016882
2,18,0.39698,0.08623,0.194,0.1153,4,True,True,7.01,,True,0.0127634788293056
2,19,0.3907,0.08454,0.2161,0.0887,4,True,True,7.08,,True,0.013313355893627714
2,20,0.38461,0.08277,0.2367,0.0586,4,True,True,7.41,,True,0.010865878253290882
2,21,0.37836,0.08081,0.2199,0.0657,4,True,True,7.64,,True,0.013243428500965954
2,22,0.37211,0.07874,0.2052,0.0771,4,True,True,7.61,,True,0.014232910539913173
2,23,0.3659,0.07665,0.1919,0.0741,4,True,True,7.59,,True,0.009375903682178022
2,24,0.35967,0.07465,0.1909,0.0838,4,True,True,7.94,,True,0.009656294514568448
2,25,0.35337,0.07274,0.183,0.0879,4,True,True,8.22,,True,0.01393620546278661
2,26,0.34712,0.07092,0.1745,0.063,4,True,True,8.15,,True,0.010572342946726486
2,27,0.34071,0.06934,0.2016,0.042,4,True,True,8.21,,True,0.01753437832353189
2,28,0.33426,0.06785,0.2236,0.0503,4,True,True,8.64,,True,0.012392272565520687
2,29,0.32778,0.06624,0.2049,0.0558,4,True,True,8.9,,True,0.010039514970096107
2,30,0.32129,0.06457,0.1886,0.0679,4,True,True,8.85,,True,0.00954385849947966
2,31,0.31489,0.06299,0.1696,0.0764,4,True,True,8.82,,True,0.008642334640412506
2,32,0.30853,0.0616,0.1587,0.0866,4,True,True,9.17,,True,0.008283949995774061
2,33,0.30218,0.06048,0.1832,0.0935,4,True,True,9.59,,True,0.008943125926777332
2,34,0.2958,0.05945,0.1974,0.0713,4,True,True,9.56,,True,0.02066124655459507
2,35,0.28918,0.05842,0.1731,0.0529,4,True,True,9.65,,True,0.019963449982584175
2,36,0.28252,0.05765,0.1555,0.0641,4,True,True,9.85,,True,0.006209276263858603
2,37,0.27586,0.0573,0.174,0.0732,4,True,True,10.3,,True,0.006183221391247377
2,38,0.26923,0.05726,0.1914,0.0859,4,True,True,10.38,,True,0.010364607192288877
2,39,0.26266,0.05737,0.1774,0.1168,4,True,True,10.66,,True,0.005557085500280456
2,40,0.25583,0.05765,0.1742,0.1268,4,True,True,10.99,,True,0.006957187412166338
2,41,0.24869,0.05818,0.2086,0.1009,4,True,True,11.47,,True,0.007565404129034007
2,42,0.2416,0.05887,0.2368,0.0872,4,True,True,11.64,,True,0.00719328564025973
2,43,0.23462,0.05961,0.2593,0.1083,4,True,True,12.25,,True,0.005267161036501507
2,44,0.22773,0.06025,0.316,0.1132,4,True,True,12.85,,False,nan
2,45,0.22105,0.0604,0.3656,0.0859,2,False,True,13.66,tilt,False,nan
2,46,0.2144,0.05979,0.3681,0.0795,2,False,True,14.04,tilt,False,nan
2,47,0.20751,0.05846,0.3276,0.1078,3,False,True,14.29,tilt,False,nan
2,48,0.20058,0.05666,0.2952,0.1173,4,True,True,14.42,,False,nan
2,49,0.19369,0.05465,0.2998,0.0914,3,False,True,15.05,tilt,False,nan
2,50,0.18679,0.05252,0.2954,0.0814,2,False,True,15.5,too_close,False,nan
2,51,0.1798,0.05033,0.252,0.1068,4,True,True,15.94,,False,nan
2,52,0.17284,0.04835,0.22,0.1165,4,True,True,16.39,,False,nan
2,53,0.16584,0.04685,0.2286,0.0897,3,False,True,17.36,too_close,False,nan
2,54,0.15871,0.0459,0.2774,0.0797,2,False,True,18.19,too_close,False,nan
2,55,0.15113,0.04521,0.3276,0.1089,1,False,True,19.49,too_close,False,nan
2,56,0.14365,0.04439,0.3419,0.1203,1,False,True,21.12,too_close,False,nan
2,57,0.13655,0.04337,0.3108,0.0907,1,False,True,22.02,too_close,False,nan
2,58,0.12927,0.04249,0.2844,0.0781,0,False,True,22.44,too_close,False,nan
2,59,0.1218,0.04218,0.3084,0.0605,0,False,True,24.15,too_close,False,nan
2,60,0.11423,0.04248,0.386,0.0347,0,False,True,27.02,too_close,False,nan
2,61,0.10676,0.0431,0.4689,0.0497,0,False,True,29.72,too_close,False,nan
