timestamp,model,note,n_episodes,success_rate,dist_mean_cm,dist_std_cm
2026-09-10 23:10:43,results_lander/run_20260910_205352/best_model.zip,"Lander.AI rebuild, TD3, linear platform, 1.5M steps",100,0.0,,
2026-09-11 20:58:59,results_lander/run_20260910_231840/best_model.zip,"Lander.AI rebuild v2, graded far-field reward, reduced scope",100,0.0,,
