episode,steps,success,truncation_reason,blind_fraction_time,detect_fraction_time,terminal_dropout_height_m,plat_speed
0,83,True,,0.6747,0.3012,0.2688,0.1644
1,69,True,,0.3623,0.6377,0.1801,0.1808
2,73,True,,0.3836,0.5616,0.187,0.1106
3,69,True,,0.5362,0.4493,0.2007,0.172
4,66,True,,0.3333,0.6515,0.1653,0.1303
5,81,True,,0.4198,0.5802,0.2148,0.2508
6,76,True,,0.5132,0.4474,0.2354,0.1304
7,75,True,,0.4933,0.4667,0.2317,0.2495
8,195,True,,0.1385,0.8564,0.1934,0.295
9,72,True,,0.375,0.6111,0.1895,0.0417
10,75,True,,0.8933,0.1067,0.3778,0.1841
11,66,True,,0.3788,0.6212,0.1949,0.1872
12,70,True,,0.5143,0.4714,0.2335,0.1276
13,68,True,,0.4412,0.5441,0.2061,0.1258
14,71,True,,0.4085,0.5775,0.1625,0.1126
15,72,True,,0.5972,0.4028,0.2848,0.2004
16,68,True,,0.4706,0.4853,0.1776,0.0898
17,69,True,,0.4493,0.4638,0.2208,0.1123
18,93,True,,0.3978,0.5806,0.2226,0.1913
19,73,True,,0.3699,0.6301,0.1768,0.1376
20,73,True,,0.9041,0.0685,0.3426,0.1523
21,69,True,,0.3913,0.5942,0.1873,0.3232
22,67,True,,0.6418,0.3582,0.2799,0.2404
23,71,True,,0.507,0.493,0.2643,0.231
24,72,True,,0.3889,0.6111,0.2067,0.1807
25,97,True,,0.4742,0.4742,0.2919,0.2858
26,75,True,,0.5067,0.4267,0.227,0.269
27,74,True,,0.4189,0.5541,0.2114,0.0964
28,77,True,,0.7143,0.1948,0.3452,0.1644
29,72,True,,0.3472,0.625,0.1695,0.0408
30,71,True,,0.5634,0.3944,0.2662,0.2613
31,72,True,,0.4444,0.5417,0.2241,0.087
32,69,True,,0.4058,0.5652,0.1782,0.1998
33,101,True,,0.6337,0.3465,0.2814,0.233
34,69,True,,0.4493,0.5072,0.2162,0.0896
35,74,True,,0.4595,0.473,0.2228,0.1123
36,93,True,,0.6882,0.3118,0.2719,0.2024
37,131,True,,0.2214,0.771,0.21,0.2306
38,98,True,,0.602,0.398,0.2788,0.2499
39,70,True,,0.5,0.4857,0.2588,0.1799
40,70,True,,0.4143,0.5857,0.2175,0.2604
41,70,True,,0.5,0.4571,0.2332,0.2519
42,74,True,,0.4595,0.527,0.2264,0.2421
43,79,True,,0.5063,0.4937,0.2323,0.2417
44,78,True,,0.7692,0.2308,0.3321,0.2135
45,73,True,,0.3425,0.589,0.1732,0.134
46,73,True,,0.4658,0.5342,0.2321,0.0363
47,70,True,,0.5,0.4571,0.2231,0.1495
48,72,True,,0.5,0.4306,0.2095,0.2311
49,66,True,,0.3333,0.6667,0.1632,0.1905
