episode,step,height_above_pad,horizontal_error,cam_u,cam_v,corners_in_frame,fully_in_frame,centre_in_frame,px_per_cell,loss_cause,aruco_detected,aruco_pos_err
0,1,0.49896,0.22381,-0.4809,0.0351,4,True,True,5.67,,True,0.020097548866131295
0,2,0.49607,0.22913,-0.5591,0.0784,4,True,True,6.13,,True,0.011487111782711843
0,3,0.49107,0.23391,-0.6389,0.1195,4,True,True,6.59,,True,0.011841777207449456
0,4,0.48498,0.23762,-0.6759,0.1096,3,False,True,6.84,tilt,False,nan
0,5,0.4792,0.23993,-0.658,0.0511,4,True,True,6.68,,False,nan
0,6,0.47355,0.24103,-0.644,0.0148,4,True,True,6.43,,True,0.021305306904172185
0,7,0.46742,0.2412,-0.6784,0.011,2,False,True,6.68,tilt,False,nan
0,8,0.4606,0.24034,-0.7058,-0.0222,2,False,True,7.08,tilt,False,nan
0,9,0.45377,0.23821,-0.6781,-0.0849,2,False,True,6.97,tilt,False,nan
0,10,0.44683,0.235,-0.6035,-0.1151,4,True,True,6.67,,True,0.017524972747583516
0,11,0.44007,0.23121,-0.5362,-0.1131,4,True,True,6.44,,True,0.013359577894504914
0,12,0.43426,0.22737,-0.51,-0.0918,4,True,True,6.31,,True,0.016695638425430186
0,13,0.42845,0.22372,-0.5287,-0.0666,4,True,True,6.56,,True,0.017778836252416056
0,14,0.42192,0.22018,-0.5462,-0.0158,4,True,True,6.67,,True,0.01077344224083416
0,15,0.41563,0.2166,-0.5201,0.0262,4,True,True,6.58,,True,0.011986076270735625
0,16,0.41041,0.21315,-0.5027,0.0078,4,True,True,6.67,,True,0.014299165003041403
0,17,0.40552,0.20997,-0.5337,-0.0053,4,True,True,7.01,,True,0.01022441442520211
0,18,0.39955,0.20686,-0.566,0.0355,4,True,True,7.26,,True,0.010796671903054849
0,19,0.39298,0.20355,-0.5568,0.0658,4,True,True,7.3,,True,0.01043180777427131
0,20,0.38703,0.20006,-0.509,0.0363,4,True,True,7.24,,True,0.008720176126926767
0,21,0.38178,0.19674,-0.4743,0.0156,4,True,True,7.25,,True,0.009400974728006448
0,22,0.37692,0.19389,-0.4857,0.0341,4,True,True,7.3,,True,0.00885525258915419
0,23,0.37166,0.19147,-0.4961,0.0337,4,True,True,7.31,,True,0.009335697926849898
0,24,0.36597,0.18937,-0.4783,-0.0118,4,True,True,7.35,,True,0.007585304296365303
0,25,0.36034,0.18774,-0.478,-0.0418,4,True,True,7.5,,True,0.012836498394864958
0,26,0.35474,0.18662,-0.5273,-0.0138,4,True,True,7.75,,True,0.009701779809308638
0,27,0.34835,0.18572,-0.5794,0.0124,4,True,True,8.16,,True,0.007118736616050747
0,28,0.34158,0.18466,-0.5893,-0.017,4,True,True,8.32,,True,0.007814299566402836
0,29,0.33537,0.18339,-0.5676,-0.0379,4,True,True,8.32,,True,0.009881266740324681
0,30,0.32999,0.18207,-0.5666,0.0034,4,True,True,8.42,,True,0.010465676695018085
0,31,0.32508,0.18081,-0.6174,0.0382,2,False,True,9.01,tilt,False,nan
0,32,0.31903,0.17936,-0.6724,0.0151,2,False,True,9.55,too_close,False,nan
0,33,0.31197,0.17738,-0.6812,-0.0142,2,False,True,9.73,too_close,False,nan
0,34,0.30488,0.17478,-0.635,-0.0346,2,False,True,9.49,too_close,False,nan
0,35,0.29828,0.17185,-0.5961,-0.0316,2,False,True,9.48,too_close,False,nan
0,36,0.29268,0.16895,-0.6084,-0.0447,2,False,True,9.9,too_close,False,nan
0,37,0.28691,0.16607,-0.6151,-0.0801,2,False,True,9.91,too_close,False,nan
0,38,0.2805,0.16315,-0.5731,-0.1156,2,False,True,9.82,too_close,False,nan
0,39,0.27432,0.16042,-0.5439,-0.121,4,True,True,9.79,,False,nan
0,40,0.26878,0.15817,-0.5603,-0.0929,2,False,True,10.03,too_close,False,nan
0,41,0.26286,0.15634,-0.5826,-0.0908,2,False,True,10.76,too_close,False,nan
0,42,0.2563,0.15483,-0.5705,-0.1218,2,False,True,11.06,too_close,False,nan
0,43,0.25011,0.15376,-0.5711,-0.1374,2,False,True,10.96,too_close,False,nan
0,44,0.24437,0.1532,-0.6187,-0.1312,2,False,True,11.46,too_close,False,nan
0,45,0.23794,0.15294,-0.6618,-0.154,2,False,True,12.47,too_close,False,nan
0,46,0.23109,0.15278,-0.6602,-0.2091,2,False,True,12.71,too_close,False,nan
0,47,0.22479,0.15274,-0.6737,-0.2331,2,False,True,12.55,too_close,False,nan
0,48,0.21902,0.15281,-0.7352,-0.2263,2,False,True,13.36,too_close,False,nan
0,49,0.21253,0.15282,-0.7892,-0.2526,2,False,True,14.6,too_close,False,nan
0,50,0.20549,0.15256,-0.7961,-0.3093,2,False,True,14.93,too_close,False,nan
0,51,0.19911,0.15198,-0.7937,-0.326,1,False,True,15.26,too_close,False,nan
0,52,0.1937,0.15119,-0.8319,-0.3593,1,False,True,16.72,too_close,False,nan
0,53,0.18816,0.15013,-0.851,-0.4232,1,False,True,17.58,too_close,False,nan
0,54,0.18205,0.14867,-0.7905,-0.4461,1,False,True,16.47,too_close,False,nan
0,55,0.17644,0.14706,-0.7479,-0.4542,1,False,True,16.02,too_close,False,nan
0,56,0.17141,0.1456,-0.7882,-0.4913,1,False,True,17.63,too_close,False,nan
0,57,0.16597,0.14419,-0.8189,-0.5295,1,False,True,19.02,too_close,False,nan
